,text,sentiment
38761,"Старый отель, находится недалеко от метро (5 минут пешком от станции Владыкино) тихое место.. ... Наша комната была чистая с хорошей звукоизоляцией... соседей мы не слышали .... хороший завтрак, много различных салатов, много фруктов, есть несколько видов каш, любой может найти себе что то по вкусу.. персонал доброжелательный .. отношение цены и качества -идеальный.. вобщем осталось приятное впечатление...",0
9482,"Только вот никаких грузоперевозок по ней нет нигде, даже в Китае. С таким же успехом перевозки осуществляются самолетом, но при этом это и выгодно
",0
1021,"Этот автомобиль впечатляет во всех отношениях. Купил его себе мой дядя и он в полном восторге! Когда я впервые проехала на этом автомобиле, то просто не хотела расставаться с ним)... Проходит он в самых ""страшных"" местах - через грязь и кочки, по которым мы на другом автомобиле вообще предпочитаем не ездить, так как не раз уже не могли выбраться. Дорогу держит хорошо.Разгоняется очень быстро и скорость при этом совсем не чувствуется. Машина идет уверенно. Никаких шумов в салоне не слышно.Расход топлива маленький - 8 - 10 литров по городу, на трассе и того меньше.Салон мне очень нравится - все сделано с умом. Комфортно и удобно. ""Я хочу такой же!"" - заявила я мужу, а он и не против, так что как только мы сможем позволить себе такой же автомобиль, то непременно его купим! ",1
15496," Чеховъ "" .  Очень милое заведение .  Барышни-официантки просто загляденье ! ( Порадовали глаз соответствием общей концепции - скромные , вежливые , приятной наружности . Восхитило особенно - отсутствие косметики и убранные волосы . Кому как - а для меня это признак хорошего вкуса . Плюсом юбки в пол и белые фартучки - чудо ! ) Русскую кухню люблю .  Порадовали . ( Пожалуй , только квашенной капустке хрусткости не хватало , но это мелочи . ) Приятная атмосфера , забавные мелочи интерьера вспоминаются с улыбкой .  Рекомендую , кто не был .  ",1
8859,"Что сказать ..... Даже не хочется обсуждать .  Просто плюсы и минусы .  Плюсы : 1 . приветливый и терпиливый персонал ( но не обученный ) . 2 . когда я там был - на плазмах крутили МТV Dance , очень редкий канал , не часто встретишь в барах СПб , очень стильное и в меру эротичное видео - часто девушки в бикини , подтанцовка гоа-гоа и почие примочки .  Уставился , даже перед женой и друзьями не ловко было .  Звук в самом баре был другой , не с плазм , так что если это их концепт , то мне очень по душе . 3 .  Есть развлекуха для детей - фломастеры , раскраски , коктейли молочные в качестве бонуса в детских стаканах - мелочь , а приятно . 4 .  Кухня приемлема - суши на уровне , правда тунец есть не стал , очень сухой и подозрительный попался .  Минусов больше , такова , по всей видимости , человеческая натура : 1 .  Убило накрытие : суши на европейских тарелках ( просто серпом по я .... ) , приборы в пивном бокале , обвернутые салфеткой .  В этот же бокал до кучи палочки и трубочки для коктейлей .  Просто салфеток на столе нет .  О качестве стекла-посуды-приборов я просто не говорю .  Какой-нибудь "" газеты "" с надписью "" Громов "" под еду нет - все на стол .  Зато зубочисток в шоте - мечта даниста . 2 .  Бесят автоматические краны в туалете - ОТКУДА они ( хозяева , управляющие , сантехники ) знают какой температурой я люблю мыть руки !!!!!!! 3 .  Свет - его очень мало , меню читаешь и напрягаешься .  Плавающая свеча на столе не спасает . 4 .  Окна на кухню , через которые видно все кухонное помещение и таджички с купленными мед. книжками или вообще без таких - не радуют . 5 .  Пиво - для пивного бара очень мало ( 3 сорта фирменного , из которого реально только 2 , и три сорта импортного , плюс две позиции бутылочного ) .  Тогда назовитесь по другому .  Суши и антисуши "" Громуша "" , например . 6 .  В конце принесли сдачу на 1200 рублей меньше , вот тогда я понял , зачем так мало света .  P.S. По ожиданиям думал потрачу около 3000 , в итоге уложился на двоих с женой в 1500 , при этом поели суши и да я выпил немного ( 0,5 Ирландское темное , забыл название , но в этом баре очень достойное со стойкой сливочной пенкой и 100 мл граппы ) .  Ребята , Вы потраченных денег стоите , но не больше .  Спасибо .  ",0
46240,"Как везде на Патонге заселяют после 14. С заселением проблем не было. Было несколько минусов. В номере не работал сейф,но по нашей просьбе все исправили. Мало мебели в номере было.Пришлост просить ещё 1стул,принесли) В остальном все в норме.Уборка нормальная. Завтраки тоже. Чистый бассейн. Купались там в дождь) Номера не большие,но мы были вдвоём с подругой,нас не напрягало. Очень понравилось,что кондей дул в ноги. Часто заболеваю от них, поэтому для меня это было важно ) Депозит взяли 100 баксов. По большому счёту нас все устроило.",0
30173,"Прексрасные, чистые, европейские комфортные номера. Гости могут посещать сауну, бассейн, хаммам и тренажерный зал – так что лучше захватить купальник заранее. Несмотря на расположение отеля вблизи шоссе, в номере абсолютно не слышно шума. Прекрасный завтрак, отзывчивый персонал, удобная большая парковка на территории отеля. В 10 минутах ходьбы большой парк Покровское-Стрешнево с родниками и большой территорие й для прогулок и отдыха",1
67856,"Перенесли на завтра, забыли предупредить
Я в шоке от этой стоматологии! Такого наплевательского отношения к пациентам я еще ни разу, нигде не встречал. Здесь ниже уже написано, про несоответствие обозначенных цен и цен «на выходе», но я из-за этого, не стал бы устраивать скандал, и писать отзыв. А вот когда ты приходишь устанавливать коронку по записи, в оговоренное на прошлом приеме время, — а тебе говорят: Мы Вас перенесли на завтра, извините, что забыли вам позвонить, администратор в этом виноват, мы его накажем. То есть, даже извинится пытались, не за то, что в одностороннем порядке перенесли прием, а лишь за то, что не предупредили об этом.
Вы скажете: Что за бред? Такого не может быть. Ну так вот я, сегодня столкнулся с такой ситуацией. Как выяснилось пришла пациентка, которой, надо было срочно. А я куда денусь на середине работ? Все равно ж, у них доделывать придется, — не начинать же в другой клинике, с самого начала. Вот такое вот отношение…
",2
4155,"))  Ну не уроды наш гнилой народец!!!! Ни доказательств, ни расследования, ни суда ещё нет, а они уже человека в педофилы записали и пинают его что есть мочи. Пипец, а не страна.  А кто девушка? жертва? всё время говорят девушка и всё, она жила сними? родственница?  Опять какое-то говно из Промо вывалилось.  Но комментарий здесь оставили)))   Да кому он нужен, кроме Темы.  че там обоссанный пейсак опять прокукарекал  тесак? это тот хуй которого в мочу окунули?  Ну чо блять твари Нашисткие Приуныли?Притухли мразоты?А ведь я ещё картинку здесь даже вставить не могу...  я бы Адагамова с удовольствием посмотрел не только в передача Тесака, но и на шершавом колу где-нибудь на Красной Площади. Жалкая, хлипкая, безвольная, мерзкая гнида. И на тебе - блоггер номер 1, член КСО, белоленточник.Мудачье, да вас же как баранов чурки и басурмане перережут, если такие хлипкие оморфные люди будут управлять этой страной и диктовать ей куда идти.Просто насадят на кукан, и будут вертеть посвистывая",0
29165,"Полностью не согласна с отрицательными отзывами
Хотелось бы выразить благодарность Лисициной Галине Николаевне! А также всему персоналу! Очень приятный человек, компетентный врач! Открытая, все четко объясняет (разжевывает), даже в свои нерабочие дни она готова дать совет и проконсультировать! Очень удобно, что все, как говорится, включено в кабинете, не нужно отдельно записываться на узи или анализы, нужно просто прийти и по мере необходимости вам проведут нужные процедуры, так сказать! Я попала совсем случайно в АЭЛИТУ и меня не выгнали, хотя я и не записывалась! Работают и по выходным, всегда подстраиваются под пациентов! Про бахилы и чистоту я вообще молчу. Там все идеально! Кому там бахилы пришлось покупать? Непонятно! Совершенно не навязывают никаких препаратов, процедур, вы все сами видите по результатам анализов в процессе лечения, если есть необходимость в этом, врач всегда скажет! Лично у меня было множество проблем: и киста, и нарушения менструального цикла, и гормональный сбой. Благодаря Галине Николаевне, мы миновали все это в очень короткие сроки, а сейчас планируем беременность! И я всем советую, кто думает о своем здоровье, о детишках посетить эту клинику! Вам действительно помогут!
",1
